,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,Marker1,Marker1,Marker1,Marker1,Marker2,Marker2,Marker2,Marker2,Marker3,Marker3,Marker3,Marker3,Marker4,Marker4,Marker4,Marker4,Hand:Index,Hand:Index,Hand:Index,Hand:Thumb,Hand:Thumb,Hand:Thumb,Hand:Middle,Hand:Middle,Hand:Middle,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker3,RigidBody 1:Marker3,RigidBody 1:Marker3,RigidBody 1:Marker4,RigidBody 1:Marker4,RigidBody 1:Marker4
,,"8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E3571463B00000002","8392B20CF49E3571463B00000002","8392B20CF49E3571463B00000002","8392B20CF49E3571463B00000000","8392B20CF49E3571463B00000000","8392B20CF49E3571463B00000000","8392B20CF49E3571463B00000001","8392B20CF49E3571463B00000001","8392B20CF49E3571463B00000001","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000004","8392B20CF49E3573100000004","8392B20CF49E3573100000004"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
6,0.200000,-0.051034,0.694508,0.025773,-0.717210,1.089071,1.324636,3.285975,0.000248,1.059940,1.321629,3.248136,0.948773,1.108439,1.323759,3.238864,0.922456,1.146423,1.327245,3.294886,0.937339,1.041484,1.325909,3.362015,0.943773,1.015177,1.330515,3.212706,1.000660,1.279648,3.360141,0.992229,1.315388,3.274732,1.059807,1.321621,3.247822,1.108605,1.323763,3.239209,1.146276,1.327244,3.294775,1.041601,1.325914,3.362103
7,0.233333,-0.051224,0.694176,0.025551,-0.717526,1.088804,1.324575,3.285924,0.000244,1.059641,1.321548,3.248110,0.948865,1.108131,1.323709,3.238796,0.926368,1.146163,1.327222,3.294784,0.939788,1.041284,1.325823,3.362006,0.940957,1.014725,1.330308,3.212696,1.000426,1.279440,3.359997,0.991916,1.315373,3.274787,1.059541,1.321505,3.247764,1.108285,1.323759,3.239150,1.146001,1.327197,3.294659,1.041394,1.325842,3.362131
8,0.266667,-0.051428,0.694060,0.025915,-0.717610,1.088586,1.324540,3.285899,0.000240,1.059410,1.321549,3.248092,0.949506,1.107898,1.323706,3.238764,0.926741,1.145948,1.327166,3.294743,0.940706,1.041089,1.325737,3.361996,0.942930,1.014341,1.330169,3.212589,1.000180,1.279191,3.359775,0.991711,1.315423,3.274745,1.059313,1.321506,3.247755,1.108063,1.323756,3.239107,1.145776,1.327141,3.294615,1.041196,1.325756,3.362127
9,0.300000,-0.051087,0.693943,0.025932,-0.717747,1.088404,1.324464,3.285822,0.000241,1.059213,1.321469,3.248027,0.949689,1.107698,1.323599,3.238681,0.925897,1.145770,1.327067,3.294643,0.940315,1.040937,1.325720,3.361937,0.942920,1.014091,1.329979,3.212432,0.999985,1.279145,3.359716,0.991554,1.315503,3.274630,1.059116,1.321422,3.247692,1.107870,1.323655,3.239021,1.145590,1.327038,3.294513,1.041044,1.325741,3.362070
10,0.333333,-0.050549,0.693928,0.025779,-0.717805,1.088253,1.324377,3.285712,0.000239,1.059056,1.321360,3.247924,0.947752,1.107540,1.323455,3.238569,0.924820,1.145621,1.326959,3.294524,0.941008,1.040794,1.325733,3.361831,0.947444,1.013967,1.329732,3.212301,0.999833,1.279151,3.359652,0.991415,1.315486,3.274505,1.058947,1.321303,3.247604,1.107729,1.323525,3.238899,1.145448,1.326924,3.294389,1.040892,1.325757,3.361962
11,0.366667,-0.051323,0.693766,0.024832,-0.717940,1.088107,1.324377,3.285571,0.000237,1.058907,1.321280,3.247792,0.951694,1.107384,1.323492,3.238423,0.920162,1.145472,1.327101,3.294366,0.939755,1.040667,1.325633,3.361703,0.951389,1.013828,1.329497,3.212109,0.999785,1.278918,3.359474,0.991283,1.315237,3.274338,1.058778,1.321212,3.247521,1.107582,1.323580,3.238742,1.145307,1.327058,3.294237,1.040767,1.325659,3.361792
12,0.400000,-0.050903,0.694053,0.024442,-0.717706,1.088091,1.324311,3.285251,0.000254,1.058919,1.321174,3.247453,0.936801,1.107403,1.323372,3.238118,0.916052,1.145449,1.327042,3.294086,0.936136,1.040593,1.325656,3.361346,0.956949,1.013677,1.329355,3.211824,0.999761,1.278890,3.359236,0.991226,1.315162,3.274032,1.058744,1.321148,3.247171,1.107674,1.323401,3.238411,1.145264,1.327028,3.293955,1.040685,1.325668,3.361468
13,0.433333,-0.050322,0.694372,0.023537,-0.717469,1.088118,1.324295,3.284856,0.000272,1.058980,1.321066,3.247040,0.932604,1.107471,1.323267,3.237742,0.910685,1.145467,1.327070,3.293734,0.931138,1.040555,1.325777,3.360907,0.953995,1.013936,1.329091,3.211294,0.999749,1.278943,3.358855,0.991284,1.315083,3.273504,1.058786,1.321029,3.246748,1.107760,1.323310,3.238044,1.145272,1.327050,3.293608,1.040660,1.325792,3.361027
14,0.466667,-0.049562,0.695460,0.021623,-0.716527,1.088148,1.324256,3.284397,0.000255,1.059129,1.320841,3.246505,0.935632,1.107645,1.323083,3.237346,0.940309,1.145466,1.327152,3.293438,0.934502,1.040353,1.325946,3.360298,0.934693,1.014092,1.328802,3.210558,0.999689,1.279040,3.358310,0.991391,1.314974,3.272884,1.058994,1.320877,3.246131,1.107854,1.323023,3.237571,1.145211,1.327182,3.293422,1.040532,1.325940,3.360463
15,0.500000,-0.048993,0.695888,0.021449,-0.716156,1.088110,1.324280,3.283924,0.000239,1.059132,1.320843,3.246003,0.945452,1.107659,1.323046,3.236896,0.932167,1.145419,1.327151,3.293027,0.938653,1.040231,1.326077,3.359770,0.945208,1.014157,1.328636,3.210019,0.999608,1.279102,3.357734,0.991427,1.314862,3.272292,1.059010,1.320854,3.245691,1.107884,1.323024,3.237144,1.145179,1.327160,3.292951,1.040370,1.326079,3.359913
