1569162260.609864950,0.702249,-0.936914,-2.33948
1569162260.641644001,0.702263,-0.936993,-2.33906
1569162260.675138950,0.702054,-0.936924,-2.3392
1569162260.708112955,0.70211,-0.936923,-2.33912
1569162260.742218017,0.702234,-0.936868,-2.33925
1569162260.776748895,0.702443,-0.936724,-2.33951
1569162260.808156967,0.702731,-0.936576,-2.33987
1569162260.842044115,0.703028,-0.936463,-2.34013
1569162260.874577045,0.703274,-0.93636,-2.34028
1569162260.907815933,0.703495,-0.936301,-2.34036
1569162260.940831899,0.703694,-0.936221,-2.34043
1569162260.975733041,0.703924,-0.936151,-2.34056
1569162261.008071899,0.70418,-0.936052,-2.34071
1569162261.042115926,0.704387,-0.935995,-2.34084
1569162261.075138092,0.704473,-0.935933,-2.34093
1569162261.109304904,0.704484,-0.935848,-2.341
1569162261.141077041,0.704431,-0.93584,-2.34103
1569162261.176438093,0.704303,-0.935818,-2.341
1569162261.209709882,0.704029,-0.935866,-2.34091
1569162261.242307901,0.703664,-0.935921,-2.34074
1569162261.274736881,0.703428,-0.936027,-2.34023
1569162261.308569908,0.703024,-0.936085,-2.33997
1569162261.342638015,0.70261,-0.936133,-2.33979
1569162261.375730037,0.702365,-0.936127,-2.3398
1569162261.409673929,0.702272,-0.936026,-2.33994
1569162261.443272113,0.702296,-0.935893,-2.34019
1569162261.475749015,0.702361,-0.935763,-2.34045
1569162261.509115934,0.702437,-0.935755,-2.34057
1569162261.542013883,0.70243,-0.935756,-2.3406
1569162261.576725959,0.702336,-0.935686,-2.34055
1569162261.608652114,0.702258,-0.935674,-2.34054
1569162261.641988039,0.702223,-0.935678,-2.3405
1569162261.674734115,0.702258,-0.935675,-2.34051
1569162261.710448026,0.70232,-0.935666,-2.34051
1569162261.741839885,0.702353,-0.935643,-2.34048
1569162261.776551008,0.702347,-0.935653,-2.34045
1569162261.808712959,0.702349,-0.935663,-2.3404
1569162261.841428041,0.702347,-0.935715,-2.34035
1569162261.874420881,0.702316,-0.935706,-2.34029
1569162261.907767057,0.702267,-0.935701,-2.34027
1569162261.942749977,0.702236,-0.935671,-2.34027
1569162261.976099014,0.702229,-0.935656,-2.34032
1569162262.009109973,0.702248,-0.935614,-2.3404
1569162262.042282104,0.702293,-0.935578,-2.34039
1569162262.075222969,0.702332,-0.93563,-2.34033
1569162262.108344078,0.702397,-0.935637,-2.34022
1569162262.141840934,0.70251,-0.935658,-2.34016
1569162262.175641059,0.702697,-0.935658,-2.34013
1569162262.208642959,0.703004,-0.935655,-2.34006
1569162262.242398977,0.703321,-0.935615,-2.34033
1569162262.275878906,0.703845,-0.935557,-2.34036
1569162262.309676885,0.704337,-0.935547,-2.34047
1569162262.341348886,0.704701,-0.935515,-2.34057
1569162262.375658988,0.70488,-0.935471,-2.34069
1569162262.408257007,0.704927,-0.935392,-2.34087
1569162262.441979885,0.704869,-0.935227,-2.34112
